ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
1000035,F,N,N,2,210500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18719,-7567,0,0,0,High skill tech staff,3
1000036,F,Y,Y,3,188700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11320,-3687,1,0,0,Medicine staff,5
1000037,M,N,Y,0,230600.0,Working,Secondary / secondary special,Married,House / apartment,-21203,-3657,0,1,0,High skill tech staff,2
1000038,M,N,N,1,190000.0,Working,Higher education,Married,House / apartment,-24481,-8360,1,0,0,Managers,3
1000039,F,Y,Y,1,205500.0,Working,Higher education,Married,House / apartment,-8777,-6128,0,1,0,Medicine staff,3
1000040,M,N,Y,1,163600.0,State servant,Higher education,Married,House / apartment,-9859,-4578,1,0,1,Managers,3
1000041,M,N,Y,0,263700.0,Working,Secondary / secondary special,Married,With parents,-15812,-7477,1,0,0,Other,2
1000042,F,Y,Y,2,201900.0,Working,Higher education,Married,House / apartment,-18710,-6777,0,0,0,Medicine staff,4
1000043,M,N,N,0,30100.0,Student,Secondary / secondary special,Married,House / apartment,-13717,-350,1,0,0,Managers,2
1000044,F,Y,Y,0,248300.0,Commercial associate,Lower secondary,Single / not married,Rented apartment,-11204,-8752,0,1,0,Accountants,1
1000045,M,N,N,2,156800.0,Working,Higher education,Married,House / apartment,-15373,-3732,0,0,0,Other,4
1000046,F,N,Y,1,190200.0,Working,Secondary / secondary special,Married,House / apartment,-18603,-138,0,0,1,High skill tech staff,3
1000047,M,Y,Y,2,153600.0,Working,Secondary / secondary special,Married,House / apartment,-17977,-8196,1,0,1,Laborers,4
1000048,F,N,N,0,137400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13751,-752,0,1,0,High skill tech staff,2
1000049,F,N,N,0,192600.0,Working,Secondary / secondary special,Married,With parents,-23255,-528,0,0,0,Medicine staff,2
1000050,M,N,Y,3,183500.0,Working,Higher education,Widow,Municipal apartment,-15281,-7022,0,0,0,Other,4
1000051,F,N,Y,0,247000.0,Working,Secondary / secondary special,Married,Municipal apartment,-15580,-2860,0,0,0,Laborers,2
1000052,F,N,Y,2,153900.0,Working,Academic degree,Married,House / apartment,-25061,-3547,0,0,0,Drivers,4
1000053,F,N,N,2,55200.0,Working,Secondary / secondary special,Married,Municipal apartment,-21882,-6312,0,0,0,Drivers,4
1000054,F,Y,N,1,157100.0,Working,Higher education,Married,House / apartment,-22033,-298,0,1,0,Medicine staff,3
1000055,F,N,N,0,77500.0,Working,Secondary / secondary special,Married,House / apartment,-24894,-8558,0,1,0,Accountants,2
1000056,F,N,Y,1,183300.0,State servant,Secondary / secondary special,Married,House / apartment,-25114,-5177,0,0,0,Drivers,3
1000057,M,N,N,2,99400.0,Commercial associate,Academic degree,Married,Rented apartment,-15569,-5305,0,1,0,High skill tech staff,4
1000058,M,N,Y,0,117700.0,Working,Incomplete higher,Married,House / apartment,-17290,-7213,0,0,0,Medicine staff,2
1000059,M,N,Y,0,209600.0,Commercial associate,Higher education,Single / not married,Municipal apartment,-15921,-5953,0,1,0,High skill tech staff,1
1000060,M,N,Y,0,277300.0,Working,Higher education,Civil marriage,House / apartment,-8843,-3854,0,1,0,Drivers,2
1000061,M,N,N,0,149900.0,Commercial associate,Academic degree,Married,With parents,-17035,-1221,0,1,1,Laborers,2
1000062,M,Y,N,2,241000.0,Commercial associate,Higher education,Married,House / apartment,-21777,-7089,0,0,1,Medicine staff,4
1000063,F,N,Y,2,288700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13590,-382,0,1,0,Medicine staff,4
1000064,M,N,Y,4,364700.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,-8506,-2591,0,1,0,High skill tech staff,6
1000065,M,Y,N,1,229000.0,Working,Higher education,Single / not married,House / apartment,-13573,-234,0,1,0,Accountants,2
1000066,F,N,Y,1,331900.0,Commercial associate,Higher education,Single / not married,House / apartment,-23356,-3359,0,0,0,Accountants,2
1000067,M,N,Y,0,234500.0,Working,Higher education,Married,Municipal apartment,-22185,-1816,0,1,0,Core staff,2
1000068,F,Y,N,1,103800.0,Working,Secondary / secondary special,Married,Municipal apartment,-14385,-2461,0,1,0,High skill tech staff,3
1000069,M,Y,N,1,180100.0,State servant,Lower secondary,Married,House / apartment,-21710,-3458,0,0,0,Accountants,3
1000070,F,Y,Y,2,233500.0,Working,Higher education,Civil marriage,House / apartment,-14067,-2402,0,0,0,Medicine staff,4
1000071,F,N,Y,2,106400.0,State servant,Higher education,Married,House / apartment,-17561,-2147,1,1,0,Core staff,4
1000072,M,Y,Y,3,143500.0,Working,Secondary / secondary special,Widow,House / apartment,-12803,-591,1,1,0,Medicine staff,4
1000073,M,Y,Y,2,129400.0,Working,Academic degree,Widow,House / apartment,-16874,-1917,0,1,0,Core staff,3
1000074,F,N,N,2,228700.0,Working,Higher education,Civil marriage,House / apartment,-20401,-4301,0,0,0,Other,4
1000075,F,Y,Y,0,234200.0,Commercial associate,Higher education,Married,House / apartment,-13368,-6684,0,1,0,Core staff,2
1000076,F,Y,N,2,159800.0,Working,Lower secondary,Married,House / apartment,-12947,-8942,0,0,0,Sales staff,4
1000077,F,Y,Y,1,99300.0,Working,Lower secondary,Married,House / apartment,-9165,-422,1,0,0,Medicine staff,3
1000078,M,N,Y,0,175800.0,Working,Secondary / secondary special,Widow,House / apartment,-24290,-274,1,0,0,High skill tech staff,1
1000079,M,N,Y,0,192300.0,Commercial associate,Lower secondary,Married,House / apartment,-16378,-5061,0,0,0,Other,2
1000080,M,Y,N,1,195300.0,Working,Higher education,Single / not married,House / apartment,-8129,-8351,0,0,1,Medicine staff,2
1000081,F,N,Y,0,72000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20790,365243,1,0,0,High skill tech staff,1
1000082,F,N,Y,0,191200.0,Working,Secondary / secondary special,Civil marriage,With parents,-23944,-6758,0,1,0,Sales staff,2
1000083,M,Y,Y,1,152300.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-24966,-4734,0,0,0,Sales staff,2
1000084,M,Y,Y,2,101300.0,Working,Higher education,Married,House / apartment,-18679,-8086,0,0,0,Core staff,4
1000085,M,Y,Y,2,85700.0,State servant,Higher education,Married,House / apartment,-18342,-3120,1,0,1,Medicine staff,4
1000086,M,N,Y,0,105800.0,Working,Secondary / secondary special,Married,With parents,-11881,-4874,0,0,0,Drivers,2
1000087,F,N,Y,0,167000.0,Working,Incomplete higher,Widow,Rented apartment,-21096,-1882,1,0,0,Other,1
1000088,F,Y,Y,0,125100.0,Pensioner,Incomplete higher,Separated,House / apartment,-15174,365243,0,0,1,Drivers,1
1000089,F,N,Y,0,197000.0,Working,Higher education,Married,House / apartment,-11899,-7172,0,0,0,Drivers,2
1000090,F,Y,Y,0,265800.0,Commercial associate,Lower secondary,Married,House / apartment,-22199,-7387,0,0,0,Medicine staff,2
1000091,M,N,Y,3,132200.0,Working,Incomplete higher,Single / not married,House / apartment,-21067,-7850,0,1,0,Medicine staff,4
1000092,F,N,Y,1,246700.0,Working,Secondary / secondary special,Married,Office apartment,-20112,-1967,0,0,1,Core staff,3
1000093,F,Y,Y,0,152100.0,Working,Higher education,Married,With parents,-15434,-5023,0,0,0,Medicine staff,2
1000094,F,N,N,0,208400.0,Working,Lower secondary,Married,House / apartment,-23975,-6176,1,0,1,Accountants,2
1000095,F,Y,Y,0,113100.0,Pensioner,Secondary / secondary special,Widow,With parents,-20693,365243,0,0,0,High skill tech staff,1
1000096,F,N,Y,0,135800.0,Pensioner,Academic degree,Widow,House / apartment,-10497,365243,0,1,1,Sales staff,1
1000097,F,Y,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,-17391,-931,0,0,0,Drivers,2
1000098,M,N,N,3,182000.0,State servant,Higher education,Single / not married,House / apartment,-17357,-8121,0,0,0,Core staff,4
1000099,M,Y,N,0,179500.0,Working,Higher education,Married,House / apartment,-20493,-1386,0,0,0,Other,2
1000100,M,N,N,0,231300.0,Working,Higher education,Single / not married,House / apartment,-10065,-1393,1,0,1,Drivers,1
1000101,M,Y,Y,0,171200.0,Commercial associate,Higher education,Married,House / apartment,-8400,-6333,0,0,0,Medicine staff,2
1000102,F,N,Y,1,91300.0,Commercial associate,Higher education,Married,With parents,-8960,-9116,0,0,1,Drivers,3
1000103,M,Y,N,0,118700.0,Working,Higher education,Married,House / apartment,-16423,-3516,0,0,1,Other,2
1000104,F,N,N,0,329800.0,Commercial associate,Higher education,Married,House / apartment,-10504,-7462,0,0,0,Laborers,2
1000105,F,Y,Y,0,170300.0,Working,Higher education,Civil marriage,House / apartment,-23767,-6240,0,1,1,High skill tech staff,2
1000106,M,Y,N,1,247700.0,Commercial associate,Higher education,Widow,House / apartment,-12239,-2003,1,0,0,Medicine staff,2
1000107,M,N,N,0,75700.0,Pensioner,Incomplete higher,Single / not married,House / apartment,-10832,365243,1,1,1,Accountants,1
1000108,F,Y,Y,0,245500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14964,-4366,0,1,0,Core staff,1
1000109,M,Y,Y,0,115600.0,Working,Higher education,Married,House / apartment,-14917,-2826,0,0,0,Core staff,2
1000110,M,N,Y,0,166400.0,Commercial associate,Secondary / secondary special,Married,With parents,-9393,-7326,1,1,1,Laborers,2
1000111,M,N,Y,0,206200.0,Commercial associate,Higher education,Single / not married,With parents,-24281,-454,0,0,0,Laborers,1
1000112,M,Y,N,0,208000.0,Working,Secondary / secondary special,Married,House / apartment,-9171,-3326,0,0,0,Sales staff,2
1000113,F,N,Y,0,214800.0,Working,Higher education,Married,House / apartment,-20262,-1230,0,1,0,Sales staff,2
1000114,F,N,N,0,192400.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-7935,-7290,1,1,0,Medicine staff,1
1000115,F,Y,N,0,80000.0,Working,Secondary / secondary special,Married,House / apartment,-22890,-6170,1,1,0,Other,2
1000116,F,N,Y,0,179600.0,Working,Higher education,Married,Municipal apartment,-12843,-8655,1,0,0,Drivers,2
1000117,F,N,Y,0,167600.0,Working,Secondary / secondary special,Married,House / apartment,-13762,-2825,0,0,0,Laborers,2
1000118,M,N,N,2,111300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11793,-1995,0,0,1,Core staff,4
1000119,F,Y,N,1,160900.0,State servant,Secondary / secondary special,Single / not married,Municipal apartment,-24383,-7657,1,0,0,Managers,2
1000120,F,N,N,2,219000.0,Commercial associate,Lower secondary,Single / not married,House / apartment,-20681,-5663,0,0,0,Other,3
1000121,F,Y,Y,2,212200.0,Working,Secondary / secondary special,Married,House / apartment,-23088,-6898,0,0,0,Drivers,4
1000122,F,Y,Y,3,246800.0,Commercial associate,Incomplete higher,Widow,House / apartment,-12956,-698,0,0,0,Other,4
1000123,M,Y,Y,1,193900.0,Commercial associate,Higher education,Civil marriage,House / apartment,-12704,-7098,0,1,0,Laborers,3
1000124,M,N,N,1,317800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17407,-4496,0,0,0,Other,3
1000125,M,N,Y,0,40100.0,Working,Higher education,Single / not married,House / apartment,-15349,-5338,0,0,0,Medicine staff,1
1000126,M,N,N,0,234600.0,Commercial associate,Academic degree,Married,Rented apartment,-10834,-4990,0,1,0,Laborers,2
1000127,F,N,Y,1,68900.0,Working,Higher education,Single / not married,House / apartment,-24739,-2337,1,0,0,Accountants,2
1000128,F,Y,N,4,122500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14981,-7385,0,1,0,Drivers,6
1000129,M,Y,N,0,284100.0,Commercial associate,Higher education,Married,Rented apartment,-8445,-6434,0,0,0,Medicine staff,2
1000130,F,Y,Y,1,88600.0,State servant,Higher education,Single / not married,House / apartment,-18750,-4682,0,0,0,Managers,2
1000131,M,Y,Y,0,90300.0,Working,Incomplete higher,Separated,Municipal apartment,-12193,-1317,0,0,0,Core staff,1
1000132,M,N,Y,0,293400.0,State servant,Lower secondary,Married,House / apartment,-8180,-1891,1,0,0,Laborers,2
1000133,M,N,Y,0,94400.0,Working,Secondary / secondary special,Married,House / apartment,-24569,-3014,1,1,0,Accountants,2
1000134,M,Y,Y,0,378600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12756,-5159,0,1,0,Laborers,2
1000135,F,Y,Y,0,169200.0,Working,Secondary / secondary special,Married,With parents,-10116,-833,1,1,0,Other,2
1000136,M,Y,Y,1,146900.0,Working,Academic degree,Married,House / apartment,-18064,-4228,1,1,0,Laborers,3
1000137,F,N,N,2,287600.0,Commercial associate,Higher education,Married,House / apartment,-8895,-2987,1,1,0,High skill tech staff,4
1000138,F,N,Y,2,352300.0,Commercial associate,Incomplete higher,Married,House / apartment,-8858,-7017,0,0,0,Core staff,4
1000139,M,N,Y,0,71900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16384,365243,1,0,0,High skill tech staff,2
1000140,F,N,N,2,197100.0,Commercial associate,Higher education,Single / not married,House / apartment,-22918,-6958,0,0,0,High skill tech staff,3
1000141,F,N,Y,0,311100.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-15154,-530,1,1,0,Drivers,1
1000142,M,Y,N,0,176100.0,State servant,Lower secondary,Separated,House / apartment,-23915,-1258,1,0,0,Drivers,1
1000143,F,Y,N,1,249400.0,Working,Higher education,Married,House / apartment,-17735,-126,1,0,0,Medicine staff,3
1000144,M,N,Y,0,212500.0,Working,Incomplete higher,Single / not married,With parents,-21329,-6570,0,1,0,Accountants,1
1000145,M,N,Y,0,293900.0,Working,Secondary / secondary special,Separated,House / apartment,-10530,-8141,1,0,0,Drivers,1
1000146,M,Y,Y,0,191300.0,Working,Higher education,Separated,House / apartment,-22918,-3914,0,0,0,Managers,1
1000147,F,N,Y,1,258600.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-13670,-3668,0,0,0,Laborers,2
1000148,F,N,Y,0,200300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10842,-4687,1,1,0,Core staff,2
1000149,M,N,Y,1,171000.0,Working,Secondary / secondary special,Married,Municipal apartment,-24325,-2573,0,0,0,Accountants,3
1000150,M,N,Y,1,233400.0,Working,Higher education,Married,Rented apartment,-14808,-7729,0,1,0,Laborers,3
1000151,F,N,Y,1,259900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9353,-6122,0,0,0,Other,3
1000152,M,N,Y,2,229700.0,Working,Secondary / secondary special,Married,House / apartment,-20140,-8413,1,0,0,High skill tech staff,4
1000153,M,Y,Y,0,239500.0,Working,Higher education,Widow,House / apartment,-22486,-6411,0,1,0,Drivers,1
1000154,F,Y,N,0,276000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-17899,-254,0,1,0,High skill tech staff,2
1000155,F,Y,Y,0,141100.0,Pensioner,Secondary / secondary special,Widow,Rented apartment,-11996,365243,0,0,1,Laborers,1
1000156,M,Y,Y,0,116300.0,Working,Higher education,Single / not married,House / apartment,-19138,-7386,0,1,0,Core staff,1
1000157,F,N,Y,1,193800.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,-18859,-802,0,1,0,Accountants,3
1000158,F,N,Y,0,233100.0,Working,Secondary / secondary special,Married,Office apartment,-18865,-3042,1,0,0,High skill tech staff,2
1000159,M,Y,Y,0,239700.0,State servant,Incomplete higher,Married,House / apartment,-7830,-2696,1,1,0,Accountants,2
1000160,F,N,Y,2,57800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-23151,-1654,0,1,0,High skill tech staff,3
1000161,M,Y,Y,1,32000.0,Student,Higher education,Civil marriage,House / apartment,-9330,-90,0,0,0,Accountants,3
1000162,F,Y,Y,1,161300.0,State servant,Secondary / secondary special,Widow,House / apartment,-20560,-3504,1,1,0,Accountants,2
1000163,F,Y,Y,2,83100.0,Pensioner,Academic degree,Married,House / apartment,-11850,365243,0,0,1,High skill tech staff,4
1000164,F,Y,Y,2,128200.0,Working,Secondary / secondary special,Married,House / apartment,-13261,-4182,1,0,0,Medicine staff,4
1000165,M,Y,Y,1,279900.0,Commercial associate,Incomplete higher,Married,House / apartment,-13418,-549,0,1,0,Accountants,3
1000166,F,N,Y,0,279600.0,Working,Higher education,Married,Municipal apartment,-14989,-3559,1,1,0,Other,2
1000167,M,N,N,4,46200.0,State servant,Secondary / secondary special,Civil marriage,Rented apartment,-19500,-902,0,1,0,Drivers,6
1000168,M,N,N,1,112800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16888,365243,1,1,0,Medicine staff,3
1000169,M,Y,Y,0,185900.0,State servant,Secondary / secondary special,Married,With parents,-8744,-987,0,0,0,Medicine staff,2
1000170,F,Y,Y,0,305500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15913,-3061,0,1,0,Medicine staff,2
1000171,F,Y,Y,1,266800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16624,-8458,0,1,0,Managers,3
1000172,M,N,N,3,291000.0,Working,Lower secondary,Single / not married,House / apartment,-14682,-4458,1,0,0,Other,4
1000173,F,Y,Y,0,181800.0,Working,Secondary / secondary special,Married,House / apartment,-24819,-8021,1,0,0,Managers,2
1000174,M,N,N,0,262700.0,Working,Secondary / secondary special,Married,House / apartment,-25548,-4750,1,0,0,High skill tech staff,2
1000175,F,N,N,2,185700.0,Commercial associate,Higher education,Single / not married,Municipal apartment,-20715,-3256,1,0,1,High skill tech staff,3
1000176,M,N,N,2,163200.0,State servant,Higher education,Married,House / apartment,-20296,-1597,0,0,0,Core staff,4
1000177,F,N,Y,0,138100.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-23023,-939,0,1,0,Accountants,1
1000178,M,Y,Y,0,157800.0,Pensioner,Higher education,Widow,House / apartment,-19480,365243,0,0,0,Accountants,1
1000179,F,Y,Y,1,114900.0,Pensioner,Higher education,Single / not married,Office apartment,-9186,365243,1,0,1,Laborers,2
1000180,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-8925,-1990,0,1,0,Drivers,2
1000181,M,N,Y,2,160300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10350,-6291,1,1,1,Other,3
1000182,M,Y,N,0,289300.0,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,-11573,-1415,1,0,0,Drivers,2
1000183,F,Y,Y,0,205000.0,Working,Secondary / secondary special,Married,With parents,-23305,-845,0,0,0,Accountants,2
1000184,F,N,Y,0,117300.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-17360,-5379,0,0,1,Other,1
1000185,M,Y,Y,0,121000.0,Working,Secondary / secondary special,Married,House / apartment,-11112,-3814,0,1,0,Laborers,2
1000186,F,N,N,0,39600.0,Student,Higher education,Civil marriage,Municipal apartment,-24024,-298,0,0,0,Other,2
1000187,F,N,N,0,221600.0,Working,Higher education,Married,With parents,-14771,-351,0,0,0,Managers,2
1000188,F,Y,Y,1,396500.0,Commercial associate,Higher education,Separated,Municipal apartment,-19148,-4428,0,0,0,Laborers,2
1000189,F,Y,Y,0,132700.0,Pensioner,Higher education,Married,House / apartment,-24974,365243,0,1,0,Medicine staff,2
1000190,M,Y,Y,2,324600.0,Commercial associate,Incomplete higher,Married,House / apartment,-17246,-7672,0,0,1,Sales staff,4
1000191,M,N,Y,0,104500.0,Commercial associate,Incomplete higher,Married,House / apartment,-25340,-873,0,0,0,Medicine staff,2
1000192,F,N,Y,1,409100.0,Commercial associate,Incomplete higher,Married,House / apartment,-13874,-2601,0,0,0,High skill tech staff,3
1000193,F,N,N,0,218200.0,Working,Secondary / secondary special,Married,House / apartment,-16960,-6624,0,0,0,High skill tech staff,2
1000194,F,N,Y,0,176900.0,Working,Secondary / secondary special,Married,With parents,-20265,-8632,0,0,1,Medicine staff,2
1000195,M,N,Y,1,150800.0,State servant,Higher education,Married,House / apartment,-17558,-7360,1,0,0,Other,3
1000196,M,Y,Y,1,110200.0,Working,Secondary / secondary special,Married,House / apartment,-7674,-7210,1,0,0,Medicine staff,3
1000197,F,Y,N,1,171000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19772,-6931,0,1,0,Accountants,3
1000198,F,N,Y,1,400500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17054,-9045,0,0,0,Sales staff,3
1000199,F,Y,Y,1,117700.0,Working,Academic degree,Married,House / apartment,-9573,-2530,0,0,0,Managers,3
1000200,F,Y,N,0,103500.0,State servant,Secondary / secondary special,Married,House / apartment,-25213,-2839,0,0,0,Other,2
1000201,F,N,Y,2,90500.0,Pensioner,Secondary / secondary special,Married,With parents,-24302,365243,0,1,0,Managers,4
1000202,M,N,N,1,104500.0,Working,Secondary / secondary special,Married,Municipal apartment,-16779,-1905,1,1,1,Medicine staff,3
1000203,M,N,Y,4,160900.0,State servant,Higher education,Married,House / apartment,-13725,-4184,0,1,0,High skill tech staff,6
1000204,F,N,N,2,331500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-17060,-6132,0,1,1,Drivers,4
1000205,F,Y,Y,0,141500.0,Working,Secondary / secondary special,Married,House / apartment,-15173,-3369,1,0,0,Accountants,2
1000206,M,N,Y,0,124600.0,Commercial associate,Academic degree,Married,Office apartment,-19131,-8890,1,0,0,Laborers,2
1000207,M,Y,N,1,198400.0,Working,Higher education,Married,Rented apartment,-16459,-3101,0,1,0,Sales staff,3
1000208,F,Y,Y,1,235300.0,Commercial associate,Higher education,Married,House / apartment,-19040,-6621,0,0,0,Drivers,3
1000209,M,N,Y,1,243200.0,Working,Lower secondary,Married,House / apartment,-22540,-2960,0,0,0,Managers,3
1000210,M,Y,Y,2,201800.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-14548,-5704,0,0,0,Sales staff,3
1000211,F,N,Y,0,218100.0,Commercial associate,Higher education,Civil marriage,House / apartment,-8129,-5283,0,0,0,Sales staff,2
1000212,F,Y,Y,0,113700.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20277,365243,0,0,0,Other,1
1000213,F,N,N,0,247500.0,Commercial associate,Higher education,Married,House / apartment,-13386,-8434,0,0,0,Drivers,2
1000214,M,Y,N,1,155300.0,Working,Secondary / secondary special,Married,House / apartment,-13361,-2176,0,1,0,Sales staff,3
1000215,F,N,Y,1,96700.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-19532,365243,0,1,0,Drivers,2
1000216,M,N,Y,0,84600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16145,-3372,0,1,0,Other,2
1000217,M,Y,Y,1,192500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18702,-6831,0,1,0,Sales staff,3
1000218,F,Y,N,0,225100.0,Working,Higher education,Married,House / apartment,-22771,-2252,1,0,0,Drivers,2
1000219,F,Y,Y,0,155700.0,Pensioner,Higher education,Married,With parents,-15858,365243,0,0,0,Core staff,2
1000220,F,Y,Y,1,133600.0,State servant,Higher education,Married,House / apartment,-13645,-5663,0,1,0,Medicine staff,3
