CODE_GENDER_ENC,FLAG_OWN_CAR_ENC,FLAG_OWN_REALTY_ENC,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE_ENC,NAME_EDUCATION_TYPE_ENC,NAME_FAMILY_STATUS_ENC,NAME_HOUSING_TYPE_ENC,AGE_YEARS,EMPLOYMENT_YEARS,IS_CURRENTLY_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE_ENC,CNT_FAM_MEMBERS,TARGET
0,0,1,0,214800.0,4,1,1,1,55,3.4,1,0,1,0,8,2,0
0,0,0,0,192400.0,2,4,3,1,21,20.0,1,1,1,0,6,1,0
0,1,0,0,80000.0,4,4,1,1,62,16.9,1,1,1,0,7,2,0
0,0,1,0,179600.0,4,1,1,2,35,23.7,1,1,0,0,2,2,0
0,0,1,0,167600.0,4,4,1,1,37,7.7,1,0,0,0,4,2,1
1,0,0,2,111300.0,0,4,1,1,32,5.5,1,0,0,1,1,4,0
0,1,0,1,160900.0,2,4,3,2,66,21.0,1,1,0,0,5,2,0
0,0,0,2,219000.0,0,3,3,1,56,15.5,1,0,0,0,7,3,0
0,1,1,2,212200.0,4,4,1,1,63,18.9,1,0,0,0,2,4,0
0,1,1,3,246800.0,0,2,4,1,35,1.9,1,0,0,0,7,4,0
1,1,1,1,193900.0,0,1,0,1,34,19.4,1,0,1,0,4,3,1
1,0,0,1,317800.0,0,4,1,1,47,12.3,1,0,0,0,7,3,0
1,0,1,0,40100.0,4,1,3,1,42,14.6,1,0,0,0,6,1,0
1,0,0,0,234600.0,0,0,1,4,29,13.7,1,0,1,0,4,2,0
0,0,1,1,68900.0,4,1,3,1,67,6.4,1,1,0,0,0,2,1
0,1,0,4,122500.0,4,4,0,1,41,20.2,1,0,1,0,2,6,0
1,1,0,0,284100.0,0,1,1,4,23,17.6,1,0,0,0,6,2,0
0,1,1,1,88600.0,2,1,3,1,51,12.8,1,0,0,0,5,2,0
1,1,1,0,90300.0,4,2,2,2,33,3.6,1,0,0,0,1,1,0
1,0,1,0,293400.0,2,3,1,1,22,5.2,1,1,0,0,4,2,0
1,0,1,0,94400.0,4,4,1,1,67,8.3,1,1,1,0,0,2,0
1,1,1,0,378600.0,0,4,1,1,34,14.1,1,0,1,0,4,2,0
0,1,1,0,169200.0,4,4,1,5,27,2.3,1,1,1,0,7,2,0
1,1,1,1,146900.0,4,0,1,1,49,11.6,1,1,1,0,4,3,0
0,0,0,2,287600.0,0,1,1,1,24,8.2,1,1,1,0,3,4,0
0,0,1,2,352300.0,0,2,1,1,24,19.2,1,0,0,0,1,4,0
1,0,1,0,71900.0,1,4,1,1,44,0.0,0,1,0,0,3,2,0
0,0,0,2,197100.0,0,1,3,1,62,19.1,1,0,0,0,3,3,0
0,0,1,0,311100.0,0,4,4,1,41,1.5,1,1,1,0,2,1,0
1,1,0,0,176100.0,2,3,2,1,65,3.4,1,1,0,0,2,1,1
0,1,0,1,249400.0,4,1,1,1,48,0.3,1,1,0,0,6,3,0
1,0,1,0,212500.0,4,2,3,5,58,18.0,1,0,1,0,0,1,0
1,0,1,0,293900.0,4,4,2,1,28,22.3,1,1,0,0,2,1,0
1,1,1,0,191300.0,4,1,2,1,62,10.7,1,0,0,0,5,1,0
0,0,1,1,258600.0,0,4,2,1,37,10.0,1,0,0,0,4,2,0
0,0,1,0,200300.0,4,4,0,1,29,12.8,1,1,1,0,1,2,0
1,0,1,1,171000.0,4,4,1,2,66,7.0,1,0,0,0,0,3,0
1,0,1,1,233400.0,4,1,1,4,40,21.2,1,0,1,0,4,3,0
0,0,1,1,259900.0,0,4,1,1,25,16.8,1,0,0,0,7,3,0
1,0,1,2,229700.0,4,4,1,1,55,23.0,1,1,0,0,3,4,0
1,1,1,0,239500.0,4,1,4,1,61,17.6,1,0,1,0,2,1,0
0,1,0,0,276000.0,0,4,1,2,49,0.7,1,0,1,0,3,2,0
0,1,1,0,141100.0,1,4,4,4,32,0.0,0,0,0,1,4,1,1
1,1,1,0,116300.0,4,1,3,1,52,20.2,1,0,1,0,1,1,0
0,0,1,1,193800.0,0,4,1,0,51,2.2,1,0,1,0,0,3,0
0,0,1,0,233100.0,4,4,1,3,51,8.3,1,1,0,0,3,2,0
1,1,1,0,239700.0,2,2,1,1,21,7.4,1,1,1,0,0,2,0
0,0,1,2,57800.0,4,4,3,1,63,4.5,1,0,1,0,3,3,0
1,1,1,1,32000.0,3,1,0,1,25,0.2,1,0,0,0,0,3,1
0,1,1,1,161300.0,2,4,4,1,56,9.6,1,1,1,0,0,2,1
0,1,1,2,83100.0,1,0,1,1,32,0.0,0,0,0,1,3,4,1
0,1,1,2,128200.0,4,4,1,1,36,11.5,1,1,0,0,6,4,0
1,1,1,1,279900.0,0,2,1,1,36,1.5,1,0,1,0,0,3,0
0,0,1,0,279600.0,4,1,1,2,41,9.8,1,1,1,0,7,2,0
1,0,0,4,46200.0,2,4,0,4,53,2.5,1,0,1,0,2,6,1
1,0,0,1,112800.0,1,4,1,1,46,0.0,0,1,1,0,6,3,1
1,1,1,0,185900.0,2,4,1,5,23,2.7,1,0,0,0,6,2,0
0,1,1,0,305500.0,0,4,1,1,43,8.4,1,0,1,0,6,2,0
0,1,1,1,266800.0,0,4,1,1,45,23.2,1,0,1,0,5,3,0
1,0,0,3,291000.0,4,3,3,1,40,12.2,1,1,0,0,7,4,1
0,1,1,0,181800.0,4,4,1,1,67,22.0,1,1,0,0,5,2,0
1,0,0,0,262700.0,4,4,1,1,69,13.0,1,1,0,0,3,2,0
0,0,0,2,185700.0,0,1,3,2,56,8.9,1,1,0,1,3,3,0
1,0,0,2,163200.0,2,1,1,1,55,4.4,1,0,0,0,1,4,0
0,0,1,0,138100.0,0,4,3,1,63,2.6,1,0,1,0,0,1,0
1,1,1,0,157800.0,1,1,4,1,53,0.0,0,0,0,0,0,1,0
0,1,1,1,114900.0,1,1,3,3,25,0.0,0,1,0,1,4,2,1
1,1,1,0,202500.0,4,4,1,1,24,5.5,1,0,1,0,2,2,0
1,0,1,2,160300.0,4,4,3,1,28,17.2,1,1,1,1,7,3,0
1,1,0,0,289300.0,0,4,0,2,31,3.9,1,1,0,0,2,2,0
0,1,1,0,205000.0,4,4,1,5,63,2.3,1,0,0,0,0,2,0
0,0,1,0,117300.0,4,4,3,4,47,14.7,1,0,0,1,7,1,0
1,1,1,0,121000.0,4,4,1,1,30,10.4,1,0,1,0,4,2,0
0,0,0,0,39600.0,3,1,0,2,65,0.8,1,0,0,0,7,2,0
0,0,0,0,221600.0,4,1,1,5,40,1.0,1,0,0,0,5,2,0
0,1,1,1,396500.0,0,1,2,2,52,12.1,1,0,0,0,4,2,0
0,1,1,0,132700.0,1,1,1,1,68,0.0,0,0,1,0,6,2,1
1,1,1,2,324600.0,0,2,1,1,47,21.0,1,0,0,1,8,4,0
1,0,1,0,104500.0,0,2,1,1,69,2.4,1,0,0,0,6,2,0
0,0,1,1,409100.0,0,2,1,1,38,7.1,1,0,0,0,3,3,0
0,0,0,0,218200.0,4,4,1,1,46,18.1,1,0,0,0,3,2,0
0,0,1,0,176900.0,4,4,1,5,55,23.6,1,0,0,1,6,2,0
1,0,1,1,150800.0,2,1,1,1,48,20.2,1,1,0,0,7,3,0
1,1,1,1,110200.0,4,4,1,1,21,19.8,1,1,0,0,6,3,0
0,1,0,1,171000.0,0,4,1,1,54,19.0,1,0,1,0,0,3,0
0,0,1,1,400500.0,0,4,1,1,46,24.8,1,0,0,0,8,3,0
0,1,1,1,117700.0,4,0,1,1,26,6.9,1,0,0,0,5,3,0
0,1,0,0,103500.0,2,4,1,1,69,7.8,1,0,0,0,7,2,0
0,0,1,2,90500.0,1,4,1,5,66,0.0,0,0,1,0,5,4,0
1,0,0,1,104500.0,4,4,1,2,45,5.2,1,1,1,1,6,3,1
1,0,1,4,160900.0,2,1,1,1,37,11.5,1,0,1,0,3,6,0
0,0,0,2,331500.0,0,4,1,2,46,16.8,1,0,1,1,2,4,0
0,1,1,0,141500.0,4,4,1,1,41,9.2,1,1,0,0,0,2,0
1,0,1,0,124600.0,0,0,1,3,52,24.4,1,1,0,0,4,2,0
1,1,0,1,198400.0,4,1,1,4,45,8.5,1,0,1,0,8,3,0
0,1,1,1,235300.0,0,1,1,1,52,18.1,1,0,0,0,2,3,0
1,0,1,1,243200.0,4,3,1,1,61,8.1,1,0,0,0,5,3,1
1,1,1,2,201800.0,0,4,2,1,39,15.6,1,0,0,0,8,3,0
0,0,1,0,218100.0,0,1,0,1,22,14.5,1,0,0,0,8,2,0
0,1,1,0,113700.0,1,4,4,1,55,0.0,0,0,0,0,7,1,0
0,0,0,0,247500.0,0,1,1,1,36,23.1,1,0,0,0,2,2,0
1,1,0,1,155300.0,4,4,1,1,36,6.0,1,0,1,0,8,3,0
0,0,1,1,96700.0,1,4,4,1,53,0.0,0,0,1,0,2,2,1
1,0,1,0,84600.0,0,4,1,1,44,9.2,1,0,1,0,7,2,1
1,1,1,1,192500.0,0,4,1,1,51,18.7,1,0,1,0,8,3,0
0,1,0,0,225100.0,4,1,1,1,62,6.2,1,1,0,0,2,2,0
0,1,1,0,155700.0,1,1,1,5,43,0.0,0,0,0,0,1,2,0
0,1,1,1,133600.0,2,1,1,1,37,15.5,1,0,1,0,6,3,0
0,0,1,0,174600.0,1,4,0,1,53,0.0,0,0,0,0,3,2,0
0,0,1,1,158400.0,2,4,4,1,57,13.8,1,1,1,0,6,2,0
1,1,1,2,95700.0,4,1,1,1,56,18.3,1,0,1,0,4,4,0
1,1,1,2,50600.0,1,1,0,1,39,0.0,0,1,0,0,1,4,1
1,1,0,0,256800.0,4,4,1,1,41,21.8,1,1,0,1,0,2,0
1,0,1,0,156500.0,4,1,1,4,59,7.2,1,0,0,0,0,2,0
0,1,1,1,138000.0,0,1,3,1,60,9.8,1,0,1,0,7,2,0
1,0,1,2,50200.0,0,4,1,1,39,24.0,1,0,0,0,3,4,0
0,0,1,2,155100.0,4,4,1,5,28,16.1,1,0,0,0,0,4,0
0,1,1,0,205500.0,4,4,1,2,46,24.5,1,1,1,1,5,2,0
0,0,1,0,136000.0,4,3,1,4,61,24.1,1,0,0,0,1,2,0
0,0,0,1,113600.0,4,4,1,1,38,21.4,1,0,0,0,7,3,0
0,0,1,1,145400.0,4,4,2,1,34,9.7,1,1,1,0,4,2,0
0,1,1,0,258300.0,4,2,3,5,38,18.5,1,0,1,0,3,1,0
1,1,1,0,92200.0,4,4,1,1,57,20.8,1,0,0,0,7,2,0
0,0,0,1,124100.0,2,1,1,1,48,20.6,1,1,1,0,1,3,0
1,0,0,0,170900.0,1,4,2,1,53,0.0,0,0,1,1,1,1,1
1,0,0,0,211100.0,4,0,3,1,26,15.9,1,0,1,0,7,1,0
0,0,1,0,170000.0,2,2,3,5,27,0.8,1,0,0,1,7,1,0
1,0,0,0,185500.0,0,1,1,1,25,9.6,1,0,0,1,5,2,1
0,0,1,1,181900.0,4,4,1,0,47,19.0,1,1,0,0,6,3,0
0,1,1,0,146100.0,4,4,3,1,28,10.7,1,0,0,0,6,1,0
0,0,0,0,125900.0,4,1,3,1,58,10.6,1,0,1,0,1,1,0
1,0,0,0,112000.0,4,4,1,1,53,4.5,1,1,0,0,5,2,0
1,0,1,0,229400.0,4,1,4,4,32,18.4,1,1,0,0,3,1,0
0,0,1,1,234900.0,0,1,1,1,57,17.2,1,0,0,0,5,3,0
1,1,1,0,266400.0,0,2,1,1,57,18.7,1,1,0,0,0,2,0
0,0,1,1,126400.0,1,4,1,1,35,0.0,0,0,1,0,2,3,0
0,0,1,0,207800.0,4,1,1,1,37,20.3,1,0,1,0,5,2,0
0,1,0,0,218600.0,0,1,1,1,57,23.8,1,0,1,1,3,2,0
1,0,0,0,199500.0,0,1,1,1,62,5.8,1,0,1,0,3,2,0
1,1,0,0,114300.0,2,2,4,4,49,13.2,1,0,0,1,2,1,0
0,1,0,1,90900.0,4,4,1,1,23,18.5,1,0,1,1,3,3,1
1,1,1,0,97200.0,2,1,1,1,31,19.4,1,1,0,0,2,2,1
1,0,0,2,104700.0,1,3,1,1,46,0.0,0,1,0,0,0,4,1
0,0,1,0,105300.0,0,4,1,1,60,1.9,1,0,0,0,2,2,0
0,0,1,0,123900.0,0,4,1,1,65,1.6,1,0,1,0,5,2,0
0,0,1,0,245700.0,4,4,1,1,26,6.7,1,0,0,0,7,2,0
0,0,1,1,172600.0,2,1,1,1,55,16.9,1,0,1,0,2,3,0
1,1,0,0,151500.0,4,1,0,2,44,24.9,1,1,0,0,3,2,0
0,1,0,0,430800.0,0,4,1,1,59,13.6,1,0,0,0,1,2,0
0,0,1,0,76200.0,4,1,3,1,54,5.8,1,0,1,0,4,1,0
1,1,0,0,241500.0,4,2,1,1,44,4.7,1,0,1,0,8,2,0
0,0,1,3,230600.0,0,3,1,1,39,16.1,1,0,0,0,0,5,0
0,0,0,0,204000.0,2,1,1,5,33,24.3,1,1,0,0,4,2,0
0,0,1,2,186900.0,4,1,1,1,63,12.1,1,1,1,0,4,4,0
0,0,1,1,55200.0,2,2,1,1,29,21.9,1,0,0,0,6,3,0
0,1,1,0,248000.0,0,4,1,1,39,20.7,1,1,1,0,8,2,0
1,1,1,0,201100.0,4,1,4,1,52,20.7,1,0,1,0,1,1,0
1,0,1,1,41900.0,4,1,3,1,41,12.3,1,0,0,0,6,2,0
0,1,0,0,403300.0,0,4,1,1,52,14.1,1,0,1,1,1,2,0
0,0,1,0,199600.0,4,4,1,1,66,8.6,1,0,0,0,0,2,0
0,1,0,1,222300.0,4,4,1,5,32,13.1,1,1,0,0,0,3,0
0,0,0,2,106600.0,4,4,1,1,49,6.6,1,0,1,0,3,4,0
0,0,1,1,223500.0,4,1,3,4,53,17.2,1,0,0,0,4,2,0
0,0,1,1,331500.0,0,2,0,1,21,0.9,1,0,0,0,4,3,0
0,1,0,0,196000.0,4,4,1,0,69,23.9,1,0,0,1,8,2,0
0,1,1,0,179400.0,4,4,1,1,24,19.2,1,0,1,0,5,2,0
0,0,0,0,123700.0,4,1,1,1,33,10.7,1,0,0,0,7,2,1
0,1,1,1,166400.0,4,4,3,1,43,24.4,1,1,0,1,0,2,0
0,0,1,3,147700.0,4,4,1,1,48,5.5,1,0,0,0,4,5,1
1,0,0,0,288000.0,0,4,4,1,63,17.5,1,0,0,0,5,1,1
1,0,1,0,168600.0,0,4,3,1,32,8.1,1,0,0,0,3,1,0
1,0,1,0,215600.0,4,4,4,1,39,4.0,1,0,0,0,3,1,0
0,1,1,2,127100.0,4,4,1,1,53,20.6,1,0,1,1,0,4,0
1,0,0,1,163500.0,4,1,3,1,38,8.4,1,0,1,0,7,2,0
0,0,0,0,218800.0,4,4,3,1,54,20.7,1,0,0,0,3,1,1
0,0,1,3,180900.0,0,4,3,1,50,10.9,1,1,0,1,4,4,0
1,0,1,2,221000.0,4,3,1,1,63,4.2,1,1,1,0,8,4,0
0,0,1,0,214800.0,4,1,4,4,67,22.2,1,0,1,0,4,1,0
1,1,1,3,108600.0,1,4,2,1,67,0.0,0,1,1,0,3,4,0
1,1,1,0,253200.0,4,4,1,1,26,5.4,1,0,0,0,0,2,0
0,0,0,0,246500.0,0,1,1,1,24,17.5,1,0,0,1,8,2,0
1,1,1,0,249400.0,4,1,1,1,32,6.4,1,0,1,0,7,2,0
1,0,1,2,293000.0,4,4,2,1,43,4.8,1,1,0,0,4,3,0
0,0,0,1,219700.0,0,4,3,4,48,16.3,1,1,0,0,4,2,0
0,1,1,0,294200.0,0,3,1,4,31,1.8,1,0,0,0,0,2,0
1,1,1,3,139800.0,4,1,1,1,48,8.5,1,0,0,0,2,5,0
0,0,1,0,153200.0,0,4,1,5,60,16.9,1,0,0,0,2,2,0
1,1,1,1,111800.0,1,4,1,1,54,0.0,0,0,1,0,2,3,0
1,0,0,1,83700.0,2,4,1,1,68,17.7,1,0,1,1,2,3,1
0,0,1,0,161200.0,0,4,3,5,54,17.3,1,0,1,1,1,1,0
0,0,1,0,144800.0,1,3,3,1,41,0.0,0,0,0,0,4,1,1
0,0,1,2,147600.0,4,4,1,1,56,16.3,1,0,1,0,2,4,0
0,1,0,0,299700.0,0,0,3,1,48,23.8,1,0,1,0,7,1,0
0,0,1,1,198900.0,4,4,1,1,54,22.3,1,1,0,0,6,3,0
0,1,1,0,296600.0,4,4,1,1,61,14.4,1,0,0,0,7,2,0
1,1,0,1,284000.0,0,4,3,1,49,9.1,1,0,1,1,8,2,0
0,0,1,0,333600.0,0,1,1,1,46,11.3,1,0,1,0,1,2,0
1,0,0,0,205300.0,4,1,1,1,33,18.0,1,0,1,0,2,2,0
1,1,1,0,266200.0,0,1,1,3,54,20.1,1,0,0,0,0,2,0
1,0,0,2,253400.0,4,1,3,1,39,14.9,1,1,0,0,5,3,0
1,0,1,0,222100.0,4,4,0,5,28,1.5,1,0,0,1,1,2,0
0,1,1,0,193200.0,4,1,1,2,49,2.0,1,1,0,0,7,2,0
0,1,0,3,193000.0,4,4,1,1,63,18.1,1,1,0,0,3,5,0
0,0,1,2,213900.0,4,1,0,5,60,9.7,1,0,0,0,8,4,1
1,0,1,0,183600.0,0,4,1,1,36,0.2,1,1,1,0,4,2,0
1,0,1,4,135000.0,4,4,1,1,48,22.3,1,0,0,0,4,6,0
1,0,1,1,269800.0,4,1,1,1,50,16.5,1,0,0,0,6,3,0
1,1,0,0,396600.0,0,4,2,5,43,10.8,1,1,1,0,5,1,0
0,0,1,0,162000.0,0,3,3,1,49,16.7,1,1,0,0,7,1,0
0,0,0,1,137900.0,4,2,1,1,40,8.8,1,0,1,0,2,3,0
0,0,1,2,252000.0,4,4,3,1,37,14.8,1,0,1,0,2,3,0
1,1,1,0,213600.0,4,4,1,1,46,9.2,1,1,0,0,6,2,0
0,1,1,0,148400.0,1,1,1,1,67,0.0,0,0,0,0,0,2,1
0,1,0,0,157700.0,1,2,3,1,59,0.0,0,0,1,1,6,1,1
0,0,0,1,219800.0,0,4,1,1,53,16.3,1,0,0,0,5,3,0
0,0,1,0,200800.0,4,3,3,1,34,11.4,1,0,0,0,1,1,0
