ID,MONTHS_BALANCE,STATUS
1000026,-7,C
1000026,-8,X
1000026,-9,0
1000026,-10,C
1000026,-11,C
1000026,-12,C
1000026,-13,1
1000026,-14,X
1000026,-15,C
1000026,-16,C
1000026,-17,X
1000026,-18,C
1000026,-19,X
1000026,-20,C
1000026,-21,X
1000027,0,C
1000027,-1,C
1000027,-2,C
1000027,-3,3
1000027,-4,C
1000028,0,C
1000028,-1,X
1000028,-2,C
1000028,-3,C
1000028,-4,X
1000028,-5,C
1000028,-6,C
1000028,-7,0
1000028,-8,C
1000028,-9,X
1000028,-10,C
1000028,-11,C
1000028,-12,X
1000028,-13,C
1000029,0,X
1000029,-1,X
1000029,-2,X
1000029,-3,0
1000030,0,0
1000030,-1,X
1000030,-2,C
1000030,-3,X
1000030,-4,0
1000030,-5,X
1000030,-6,X
1000031,0,C
1000031,-1,C
1000031,-2,X
1000031,-3,C
1000031,-4,1
1000031,-5,X
1000032,0,C
1000032,-1,C
1000032,-2,C
1000032,-3,0
1000033,0,C
1000033,-1,X
1000033,-2,X
1000033,-3,X
1000033,-4,C
1000033,-5,1
1000033,-6,0
1000033,-7,0
1000033,-8,2
1000033,-9,X
1000033,-10,X
1000034,0,0
1000034,-1,C
1000034,-2,X
1000034,-3,X
1000034,-4,C
1000034,-5,C
1000034,-6,0
1000034,-7,X
1000034,-8,C
1000034,-9,0
1000034,-10,C
1000035,0,0
1000035,-1,C
1000035,-2,C
1000035,-3,X
1000035,-4,X
1000035,-5,X
1000035,-6,C
1000035,-7,C
1000035,-8,C
1000035,-9,X
1000035,-10,C
1000035,-11,0
1000036,0,0
1000036,-1,1
1000036,-2,X
1000036,-3,X
1000036,-4,X
1000036,-5,X
1000036,-6,X
1000036,-7,X
1000036,-8,4
1000036,-9,X
1000036,-10,X
1000036,-11,C
1000036,-12,2
1000036,-13,C
1000036,-14,C
1000036,-15,5
1000036,-16,0
1000036,-17,2
1000036,-18,C
1000036,-19,2
1000036,-20,C
1000036,-21,X
1000036,-22,3
1000036,-23,C
1000037,0,C
1000037,-1,X
1000037,-2,X
1000037,-3,C
1000037,-4,C
1000037,-5,0
1000037,-6,C
1000037,-7,X
1000037,-8,C
1000037,-9,1
1000037,-10,C
1000037,-11,C
1000037,-12,0
1000038,0,X
1000038,-1,X
1000038,-2,C
1000038,-3,X
1000038,-4,X
1000038,-5,X
1000038,-6,C
1000038,-7,X
1000038,-8,C
1000038,-9,X
1000038,-10,X
1000039,0,X
1000039,-1,X
1000039,-2,X
1000040,0,X
1000040,-1,C
1000040,-2,0
1000040,-3,1
1000040,-4,0
1000040,-5,0
1000040,-6,1
1000040,-7,C
1000040,-8,0
1000040,-9,C
1000040,-10,C
1000040,-11,0
1000040,-12,X
1000040,-13,X
1000040,-14,X
1000040,-15,C
1000040,-16,C
1000040,-17,0
1000040,-18,C
1000040,-19,1
1000040,-20,C
1000041,0,X
1000041,-1,X
1000041,-2,0
1000041,-3,C
1000041,-4,X
1000041,-5,X
1000041,-6,C
1000041,-7,X
1000041,-8,1
1000041,-9,C
1000041,-10,X
1000041,-11,X
1000041,-12,C
1000041,-13,X
1000041,-14,X
1000041,-15,X
1000041,-16,0
1000041,-17,X
1000042,0,X
1000042,-1,X
1000042,-2,X
1000042,-3,0
1000042,-4,1
1000042,-5,X
1000043,0,2
1000043,-1,2
1000043,-2,X
1000043,-3,X
1000043,-4,X
1000043,-5,X
1000043,-6,C
1000043,-7,X
1000043,-8,X
1000043,-9,X
1000043,-10,C
1000043,-11,C
1000043,-12,X
1000043,-13,C
1000043,-14,X
1000043,-15,2
1000044,0,X
1000044,-1,X
1000044,-2,0
1000044,-3,X
1000044,-4,X
1000044,-5,C
1000044,-6,X
1000044,-7,X
1000044,-8,C
1000044,-9,C
1000044,-10,X
1000044,-11,X
1000044,-12,0
1000044,-13,C
1000044,-14,X
1000044,-15,C
1000044,-16,C
1000044,-17,X
1000044,-18,C
1000044,-19,X
1000044,-20,X
1000044,-21,X
1000045,0,X
1000045,-1,C
1000045,-2,C
1000045,-3,C
1000045,-4,C
1000045,-5,C
1000045,-6,C
1000045,-7,X
1000045,-8,0
1000045,-9,C
1000045,-10,1
1000045,-11,X
1000046,0,5
1000046,-1,1
1000046,-2,0
1000046,-3,4
1000046,-4,4
1000046,-5,2
1000046,-6,X
1000046,-7,0
1000046,-8,C
1000046,-9,2
1000046,-10,X
1000046,-11,0
1000046,-12,C
1000046,-13,C
1000046,-14,4
1000046,-15,X
1000046,-16,X
1000046,-17,X
1000047,0,0
1000047,-1,X
1000047,-2,C
1000047,-3,C
1000047,-4,0
1000047,-5,C
1000047,-6,C
1000047,-7,X
1000047,-8,0
1000047,-9,C
1000047,-10,C
1000047,-11,C
1000047,-12,X
1000047,-13,C
1000047,-14,X
1000047,-15,X
1000047,-16,0
1000048,0,3
1000048,-1,C
1000048,-2,X
1000048,-3,2
1000048,-4,2
1000048,-5,C
1000048,-6,X
1000048,-7,C
1000048,-8,X
1000048,-9,C
1000048,-10,C
1000048,-11,X
1000049,0,X
1000049,-1,X
1000049,-2,X
1000049,-3,X
1000049,-4,0
1000049,-5,X
1000049,-6,X
1000050,0,0
1000050,-1,0
1000050,-2,1
1000050,-3,0
1000050,-4,0
1000050,-5,C
1000050,-6,X
1000050,-7,C
1000050,-8,C
1000050,-9,C
1000051,0,X
1000051,-1,X
1000051,-2,C
1000051,-3,X
1000051,-4,X
1000051,-5,X
1000051,-6,0
1000051,-7,X
1000051,-8,C
1000051,-9,X
1000051,-10,C
1000051,-11,C
1000051,-12,X
1000051,-13,0
1000051,-14,C
1000051,-15,1
1000051,-16,X
1000051,-17,C
1000052,0,X
1000052,-1,C
1000052,-2,0
1000052,-3,C
1000052,-4,C
1000052,-5,0
1000052,-6,C
1000052,-7,0
1000052,-8,X
1000052,-9,X
1000052,-10,0
1000052,-11,C
1000052,-12,1
1000052,-13,C
1000052,-14,C
1000052,-15,1
1000052,-16,0
1000052,-17,C
1000052,-18,1
1000052,-19,1
1000052,-20,X
1000052,-21,C
1000052,-22,X
1000052,-23,X
1000053,0,1
1000053,-1,X
1000053,-2,C
1000053,-3,X
1000053,-4,C
1000053,-5,C
1000053,-6,C
1000053,-7,C
1000053,-8,C
1000053,-9,C
1000053,-10,C
1000053,-11,1
1000053,-12,C
1000053,-13,0
1000053,-14,X
1000053,-15,X
1000053,-16,X
1000053,-17,C
1000053,-18,0
1000053,-19,C
1000053,-20,C
1000053,-21,X
1000054,0,X
1000054,-1,C
1000054,-2,X
1000054,-3,X
1000054,-4,C
1000055,0,0
1000055,-1,C
1000055,-2,C
1000055,-3,1
1000055,-4,X
1000055,-5,X
1000055,-6,C
1000055,-7,X
1000055,-8,C
1000055,-9,X
1000055,-10,C
1000055,-11,0
1000055,-12,0
1000055,-13,1
1000056,0,C
1000056,-1,C
1000056,-2,X
1000056,-3,C
1000056,-4,C
1000056,-5,X
1000056,-6,X
1000056,-7,C
1000056,-8,X
1000056,-9,C
1000056,-10,X
1000056,-11,X
1000056,-12,C
1000056,-13,X
1000056,-14,C
1000056,-15,1
1000056,-16,X
1000056,-17,X
1000056,-18,0
1000056,-19,0
1000057,0,4
1000057,-1,C
1000057,-2,2
1000057,-3,C
1000057,-4,C
1000057,-5,X
1000057,-6,C
1000057,-7,C
1000058,0,X
1000058,-1,0
1000058,-2,1
1000058,-3,C
1000058,-4,C
1000058,-5,X
1000058,-6,X
1000058,-7,C
1000058,-8,C
1000058,-9,C
1000058,-10,X
1000058,-11,C
1000058,-12,1
1000058,-13,1
1000058,-14,0
1000058,-15,0
1000058,-16,X
1000058,-17,C
1000058,-18,X
1000058,-19,X
1000058,-20,C
1000058,-21,0
1000058,-22,C
1000058,-23,0
1000059,0,X
1000059,-1,1
1000059,-2,X
1000059,-3,C
1000059,-4,X
1000060,0,0
1000060,-1,C
1000060,-2,C
1000060,-3,C
1000060,-4,C
1000060,-5,0
1000060,-6,C
1000060,-7,C
1000060,-8,C
1000060,-9,1
1000060,-10,X
1000060,-11,X
1000060,-12,X
1000060,-13,0
1000060,-14,C
1000060,-15,X
1000060,-16,X
1000061,0,2
1000061,-1,X
1000061,-2,3
1000061,-3,1
1000061,-4,2
1000061,-5,3
1000062,0,X
1000062,-1,X
1000062,-2,0
1000062,-3,C
1000062,-4,1
1000062,-5,1
1000062,-6,C
1000062,-7,C
1000062,-8,X
1000062,-9,C
1000062,-10,1
1000062,-11,X
1000062,-12,X
1000062,-13,C
1000062,-14,0
1000062,-15,0
1000062,-16,C
1000063,0,C
1000063,-1,1
1000063,-2,0
1000063,-3,X
1000063,-4,X
1000063,-5,0
1000063,-6,X
1000063,-7,0
1000063,-8,X
1000063,-9,X
1000063,-10,X
1000063,-11,C
1000063,-12,X
1000064,0,X
1000064,-1,0
1000064,-2,X
1000064,-3,0
1000064,-4,C
1000064,-5,1
1000064,-6,0
1000064,-7,0
1000064,-8,C
1000064,-9,0
1000064,-10,X
1000064,-11,C
1000064,-12,C
1000064,-13,X
1000064,-14,C
1000064,-15,X
1000064,-16,1
1000064,-17,C
1000064,-18,C
1000064,-19,X
1000064,-20,1
1000064,-21,X
1000065,0,X
1000065,-1,C
1000065,-2,X
1000065,-3,C
1000065,-4,0
1000065,-5,X
1000065,-6,X
1000065,-7,X
1000065,-8,C
1000065,-9,C
1000065,-10,C
1000065,-11,0
1000065,-12,C
1000065,-13,X
1000065,-14,C
1000065,-15,C
1000065,-16,C
1000066,0,X
1000066,-1,0
1000066,-2,X
1000066,-3,1
1000066,-4,X
1000066,-5,X
1000066,-6,C
1000067,0,1
1000067,-1,X
1000067,-2,C
1000068,0,X
1000068,-1,C
1000068,-2,C
1000068,-3,C
1000068,-4,X
1000068,-5,3
1000068,-6,C
1000068,-7,3
1000068,-8,0
1000068,-9,C
1000068,-10,0
1000068,-11,X
1000068,-12,X
1000069,0,C
1000069,-1,X
1000069,-2,C
1000069,-3,C
1000069,-4,C
1000069,-5,1
1000069,-6,1
1000069,-7,X
1000069,-8,C
1000069,-9,C
1000069,-10,C
1000069,-11,X
1000070,0,X
1000070,-1,0
1000070,-2,0
1000070,-3,X
1000070,-4,C
1000070,-5,X
1000070,-6,C
1000070,-7,C
1000070,-8,C
1000071,0,0
1000071,-1,X
1000071,-2,0
1000071,-3,X
1000071,-4,C
1000071,-5,C
1000071,-6,0
1000071,-7,1
1000071,-8,X
1000071,-9,1
1000071,-10,0
1000071,-11,X
1000071,-12,C
1000071,-13,C
1000071,-14,C
1000071,-15,X
1000071,-16,C
1000071,-17,X
1000071,-18,C
1000071,-19,0
1000071,-20,C
1000071,-21,X
1000072,0,C
1000072,-1,X
1000072,-2,X
1000073,0,C
1000073,-1,C
1000073,-2,X
1000073,-3,C
1000073,-4,X
1000073,-5,X
1000073,-6,1
1000073,-7,C
1000073,-8,X
1000074,0,0
1000074,-1,C
1000074,-2,X
1000074,-3,1
1000074,-4,C
1000074,-5,C
1000074,-6,1
1000074,-7,C
1000074,-8,X
1000074,-9,0
1000074,-10,C
1000074,-11,X
1000074,-12,1
1000074,-13,X
1000074,-14,0
1000074,-15,0
1000074,-16,X
1000074,-17,C
1000074,-18,0
1000074,-19,C
1000074,-20,X
1000074,-21,C
1000074,-22,0
1000074,-23,C
1000075,0,0
1000075,-1,C
1000075,-2,C
1000075,-3,X
1000075,-4,C
1000075,-5,0
1000075,-6,C
1000075,-7,X
1000075,-8,X
1000075,-9,X
1000075,-10,1
1000075,-11,C
1000075,-12,C
1000075,-13,1
1000075,-14,X
1000075,-15,C
1000075,-16,0
1000075,-17,C
1000075,-18,C
1000075,-19,C
1000075,-20,X
1000075,-21,X
1000075,-22,X
1000076,0,0
1000076,-1,X
1000076,-2,X
1000077,0,C
1000077,-1,0
1000077,-2,C
1000077,-3,X
1000077,-4,X
1000077,-5,C
1000077,-6,X
1000077,-7,0
1000077,-8,C
1000077,-9,X
1000077,-10,C
1000077,-11,X
1000077,-12,X
1000077,-13,C
1000077,-14,C
1000077,-15,X
1000077,-16,C
1000077,-17,C
1000077,-18,C
1000077,-19,X
1000078,0,1
1000078,-1,X
1000078,-2,X
1000078,-3,X
1000078,-4,C
1000078,-5,C
1000078,-6,0
1000078,-7,1
1000078,-8,C
1000078,-9,C
1000078,-10,X
1000078,-11,C
1000078,-12,C
1000078,-13,X
1000078,-14,C
1000078,-15,C
1000079,0,1
1000079,-1,1
1000079,-2,0
1000080,0,X
1000080,-1,1
1000080,-2,X
1000080,-3,X
1000080,-4,0
1000080,-5,C
1000080,-6,X
1000080,-7,X
1000080,-8,1
1000080,-9,X
1000080,-10,0
1000080,-11,C
1000080,-12,X
1000080,-13,X
1000080,-14,X
1000081,0,0
1000081,-1,C
1000081,-2,X
1000081,-3,4
1000081,-4,X
1000081,-5,0
1000081,-6,0
1000081,-7,1
1000081,-8,C
1000081,-9,C
1000081,-10,X
1000081,-11,0
1000081,-12,0
1000081,-13,X
1000081,-14,X
1000081,-15,X
1000081,-16,3
1000082,0,X
1000082,-1,X
1000082,-2,X
1000082,-3,C
1000082,-4,X
1000082,-5,C
1000082,-6,C
1000082,-7,X
1000082,-8,X
1000082,-9,C
1000082,-10,1
1000082,-11,C
1000082,-12,C
1000082,-13,C
1000082,-14,C
1000082,-15,0
1000082,-16,1
1000082,-17,X
1000083,0,0
1000083,-1,C
1000083,-2,0
1000083,-3,X
1000084,0,C
1000084,-1,0
1000084,-2,C
1000084,-3,C
1000084,-4,X
1000084,-5,1
1000084,-6,1
1000085,0,1
1000085,-1,X
1000085,-2,X
1000085,-3,X
1000085,-4,0
1000085,-5,C
1000085,-6,1
1000085,-7,X
1000085,-8,C
1000085,-9,X
1000085,-10,C
1000085,-11,X
1000085,-12,X
1000085,-13,C
1000085,-14,X
1000085,-15,0
1000086,0,X
1000086,-1,X
1000086,-2,0
1000086,-3,C
1000086,-4,X
1000086,-5,X
1000086,-6,C
1000086,-7,C
1000086,-8,X
1000086,-9,C
1000087,0,X
1000087,-1,X
1000087,-2,X
1000087,-3,0
1000087,-4,X
1000087,-5,1
1000087,-6,X
1000087,-7,C
1000087,-8,X
1000087,-9,X
1000087,-10,0
1000087,-11,C
1000087,-12,X
1000087,-13,C
1000087,-14,1
1000087,-15,1
1000087,-16,X
1000087,-17,0
1000088,0,C
1000088,-1,X
1000088,-2,C
1000088,-3,1
1000088,-4,0
1000088,-5,X
1000088,-6,0
1000088,-7,C
1000089,0,C
1000089,-1,X
1000089,-2,X
1000089,-3,X
1000089,-4,C
1000089,-5,C
1000089,-6,C
1000089,-7,X
1000089,-8,C
1000089,-9,0
1000089,-10,C
1000089,-11,C
1000089,-12,X
1000089,-13,1
1000089,-14,X
1000089,-15,C
1000089,-16,C
1000089,-17,C
1000090,0,C
1000090,-1,C
1000090,-2,X
1000090,-3,C
1000090,-4,C
1000090,-5,C
1000090,-6,C
1000090,-7,1
1000090,-8,X
1000091,0,4
1000091,-1,2
1000091,-2,X
1000091,-3,X
1000091,-4,0
1000091,-5,0
1000091,-6,C
1000091,-7,X
1000091,-8,X
1000091,-9,C
1000092,0,X
1000092,-1,0
1000092,-2,0
1000092,-3,X
1000092,-4,1
1000092,-5,C
1000093,0,0
1000093,-1,C
1000093,-2,0
1000093,-3,C
1000093,-4,0
1000093,-5,1
1000093,-6,X
1000094,0,C
1000094,-1,1
1000094,-2,C
1000094,-3,0
1000094,-4,C
1000094,-5,C
1000094,-6,C
1000094,-7,C
1000094,-8,X
1000094,-9,C
1000095,0,X
1000095,-1,2
1000095,-2,X
1000095,-3,C
1000095,-4,0
1000095,-5,C
1000095,-6,X
1000095,-7,0
1000095,-8,2
1000095,-9,0
1000095,-10,C
1000096,0,X
1000096,-1,C
1000096,-2,X
1000096,-3,C
1000096,-4,2
1000096,-5,C
1000096,-6,1
1000096,-7,X
1000096,-8,C
1000096,-9,C
1000096,-10,X
1000096,-11,C
1000097,0,C
1000097,-1,C
1000097,-2,C
1000097,-3,X
1000097,-4,C
1000097,-5,X
1000097,-6,C
1000097,-7,X
1000097,-8,C
1000097,-9,C
1000097,-10,C
1000097,-11,C
1000097,-12,0
1000097,-13,C
1000097,-14,X
1000097,-15,C
1000097,-16,C
1000097,-17,0
1000097,-18,0
1000097,-19,X
1000097,-20,C
1000097,-21,C
1000097,-22,C
1000097,-23,C
1000098,0,X
1000098,-1,X
1000098,-2,C
1000098,-3,0
1000098,-4,0
1000098,-5,C
1000098,-6,C
1000098,-7,1
1000098,-8,C
1000098,-9,0
1000098,-10,X
1000098,-11,C
1000098,-12,X
1000098,-13,C
1000098,-14,X
1000098,-15,X
1000098,-16,X
1000099,0,X
1000099,-1,X
1000099,-2,C
1000100,0,C
1000100,-1,X
1000100,-2,0
1000101,0,X
1000101,-1,X
1000101,-2,X
1000101,-3,C
1000101,-4,0
1000101,-5,X
1000101,-6,C
1000101,-7,C
1000101,-8,C
1000101,-9,0
1000101,-10,X
1000101,-11,X
1000101,-12,C
1000101,-13,1
1000101,-14,C
1000102,0,X
1000102,-1,C
1000102,-2,C
1000102,-3,1
1000102,-4,0
1000102,-5,X
1000102,-6,C
1000102,-7,X
1000103,0,C
1000103,-1,X
1000103,-2,C
1000103,-3,X
1000104,0,1
1000104,-1,0
1000104,-2,X
1000104,-3,X
1000104,-4,X
1000104,-5,C
1000104,-6,C
1000104,-7,C
1000104,-8,C
1000104,-9,C
1000104,-10,X
1000104,-11,C
1000104,-12,X
1000105,0,C
1000105,-1,1
1000105,-2,1
1000105,-3,0
1000105,-4,X
1000105,-5,C
1000105,-6,X
1000105,-7,X
1000105,-8,C
1000105,-9,C
1000105,-10,X
1000105,-11,X
1000105,-12,C
1000106,0,1
1000106,-1,0
1000106,-2,1
1000106,-3,C
1000106,-4,C
1000106,-5,X
1000106,-6,C
1000106,-7,C
1000106,-8,X
1000106,-9,0
1000106,-10,C
1000106,-11,C
1000106,-12,C
1000106,-13,X
1000106,-14,X
1000106,-15,C
1000106,-16,0
1000106,-17,0
1000106,-18,X
1000107,0,0
1000107,-1,X
1000107,-2,C
1000107,-3,C
1000107,-4,X
1000107,-5,C
1000107,-6,1
1000107,-7,X
1000108,0,X
1000108,-1,1
1000108,-2,X
1000108,-3,C
1000108,-4,C
1000108,-5,0
1000108,-6,X
1000108,-7,0
1000108,-8,C
1000108,-9,C
1000108,-10,0
1000108,-11,C
1000108,-12,X
1000109,0,C
1000109,-1,1
1000109,-2,C
1000109,-3,1
1000109,-4,0
1000109,-5,X
1000109,-6,0
1000109,-7,X
1000109,-8,X
1000109,-9,0
1000109,-10,3
1000109,-11,C
1000109,-12,X
1000109,-13,X
1000109,-14,0
1000109,-15,5
1000109,-16,C
1000109,-17,0
1000109,-18,C
1000109,-19,C
1000109,-20,4
1000109,-21,0
1000109,-22,X
1000109,-23,X
1000110,0,C
1000110,-1,X
1000110,-2,X
1000110,-3,C
1000110,-4,C
1000110,-5,C
1000110,-6,1
1000111,0,C
1000111,-1,1
1000111,-2,X
1000111,-3,X
1000111,-4,C
1000111,-5,0
1000111,-6,0
1000111,-7,0
1000111,-8,X
1000112,0,X
1000112,-1,C
1000112,-2,C
1000112,-3,0
1000112,-4,1
1000112,-5,X
1000112,-6,X
1000112,-7,1
1000112,-8,C
1000112,-9,C
1000112,-10,X
1000113,0,0
1000113,-1,X
1000113,-2,C
1000113,-3,C
1000113,-4,C
1000113,-5,1
1000113,-6,C
1000113,-7,X
1000113,-8,X
1000113,-9,X
1000113,-10,1
1000113,-11,C
1000113,-12,C
1000114,0,C
1000114,-1,X
1000114,-2,X
1000114,-3,X
1000114,-4,C
1000114,-5,C
1000115,0,X
1000115,-1,1
1000115,-2,C
1000115,-3,C
1000116,0,X
1000116,-1,1
1000116,-2,C
1000116,-3,X
1000116,-4,1
1000116,-5,C
1000116,-6,X
1000116,-7,0
1000116,-8,C
1000116,-9,X
1000116,-10,X
1000116,-11,0
1000116,-12,C
1000116,-13,X
1000116,-14,C
1000116,-15,X
1000116,-16,C
1000116,-17,1
1000116,-18,C
1000116,-19,X
1000116,-20,0
1000117,0,X
1000117,-1,X
1000117,-2,X
1000117,-3,X
1000117,-4,X
1000117,-5,3
1000117,-6,X
1000117,-7,X
1000117,-8,C
1000117,-9,X
1000117,-10,2
1000117,-11,C
1000117,-12,2
1000117,-13,X
1000117,-14,X
1000117,-15,X
1000117,-16,4
1000117,-17,3
1000117,-18,X
1000118,0,X
1000118,-1,C
1000118,-2,C
1000118,-3,X
1000118,-4,C
1000118,-5,1
1000118,-6,0
1000118,-7,X
1000118,-8,0
1000118,-9,0
1000118,-10,C
1000118,-11,X
1000118,-12,X
1000118,-13,C
1000118,-14,1
1000118,-15,X
1000119,0,0
1000119,-1,1
1000119,-2,0
1000119,-3,X
1000119,-4,C
1000119,-5,0
1000119,-6,1
1000120,0,0
1000120,-1,C
1000120,-2,X
1000120,-3,X
1000120,-4,X
1000120,-5,1
1000120,-6,C
1000120,-7,1
1000120,-8,X
1000120,-9,X
1000120,-10,C
1000120,-11,X
1000120,-12,C
1000120,-13,X
1000120,-14,C
1000120,-15,C
1000120,-16,X
1000120,-17,0
1000120,-18,X
1000121,0,0
1000121,-1,0
1000121,-2,C
1000121,-3,X
1000121,-4,X
1000121,-5,X
1000121,-6,X
1000121,-7,1
1000121,-8,X
1000121,-9,C
1000121,-10,C
1000121,-11,C
1000121,-12,0
1000121,-13,C
1000121,-14,0
1000121,-15,C
1000121,-16,C
1000121,-17,C
1000121,-18,X
1000121,-19,X
1000121,-20,C
1000121,-21,X
1000121,-22,C
1000122,0,C
1000122,-1,C
1000122,-2,1
1000123,0,X
1000123,-1,0
1000123,-2,1
1000123,-3,0
1000123,-4,C
1000123,-5,X
1000123,-6,C
1000123,-7,X
1000123,-8,1
1000123,-9,C
1000123,-10,X
1000123,-11,X
1000123,-12,3
1000123,-13,C
1000124,0,X
1000124,-1,1
1000124,-2,0
1000124,-3,0
1000124,-4,X
1000124,-5,X
1000124,-6,0
1000124,-7,C
1000124,-8,X
1000124,-9,0
